,nvda,msft,googl,amzn,aapl,meta
2023-01-03,100.0,100.0,100.0,100.0,100.0,100.0
2023-01-04,103.03180357650186,95.62567029939216,98.83303824888324,99.207643547432,101.03142195109045,102.10838388262312
2023-01-05,99.6507328667635,92.79153655333813,96.72350092150592,96.85388375921303,99.96001759597995,101.76366757147352
2023-01-06,103.80022995036859,93.8851075154821,98.00268165474705,100.30296217333377,103.63792728984254,104.23282559562685
2023-01-09,109.1722186876023,94.79922017484166,98.76569477541702,101.79445458052155,104.06170355066702,103.7918855868798
2023-01-10,111.13518654123433,95.52131762495121,99.21453617765282,104.71918325117645,104.5254684191429,106.61374876984999
2023-01-11,111.7778738127345,98.40970742538941,102.69299662402214,110.80167405736483,106.73223656853328,106.5336137238047
2023-01-12,115.34057063437757,99.55336845729987,102.25538488840766,111.01141573275038,106.66825231483853,109.59598067265975
2023-01-13,118.05103724422356,99.85388267473768,103.36624146424495,114.33232707468726,107.74764694712167,109.81240693932513
2023-01-17,123.66051909561746,100.32138999255822,102.43491281773656,111.92030225275164,108.6911324238934,108.51370139770931
2023-01-18,121.3901860277141,98.42641066560185,102.24415522178634,111.23281219287841,108.10744515788274,106.63782626906944
2023-01-19,117.11492316536554,96.80689724605492,104.40977182974687,109.15870500850818,108.15543644996947,109.14701483083955
2023-01-20,124.61757413031678,100.26712738788375,109.98652267374133,113.31857416199121,110.2342733137584,111.7283865763935
2023-01-23,134.07617706178382,101.25219279154965,111.97261135237295,113.63318223007151,112.82481050542783,114.85489854749065
2023-01-24,134.57914680943864,101.02678420245532,109.62745818351813,112.23491032083194,113.96016189244504,114.7506860022259
2023-01-25,134.98429428311906,100.42990210132656,106.84470191061428,113.23700844878547,113.42450314030921,113.4359411229324
2023-01-26,138.33043227734896,103.51445999505191,109.42547955251203,115.61407780648952,115.10357800021104,118.08561073538391
2023-01-27,142.2633838717293,103.58125985532112,111.50134514315624,119.13306714907341,116.67863036971595,121.64502455368631
2023-01-30,133.85961823437066,101.30644229564356,108.77468541396642,117.1638352473939,114.33600269386488,117.89321265406348
2023-01-31,136.47925178098163,103.43516873121992,110.90663891675925,120.17012074125853,115.3673936267986,119.42440845695963
2023-02-01,146.30110693625812,105.49710185681734,112.69074896438478,122.52388941947348,116.27888077309159,122.7513196855131
2023-02-02,151.65212137217947,110.44326534852556,120.89317885363144,131.56607325054435,120.58846902505155,151.3307564779168
2023-02-03,147.3978528184259,107.83455329214642,117.57181289804464,120.47308291459228,123.53080174304671,149.5350040668536
2023-02-06,147.3210248530465,107.17503076507586,115.46229283379816,119.06315622061024,121.31605572374633,149.1582460657545
2023-02-07,154.8934878962609,111.67878110102387,120.78095987150705,118.9815905074045,123.65074275147552,153.61551759688558
2023-02-08,155.1170092580366,111.33234934872756,111.50134514315624,116.58122047021145,121.46795784086581,147.0498683473657
2023-02-09,156.03911823903903,110.03421282115828,106.6090601744405,114.47214893161362,120.62842041091488,142.6326766677259
2023-02-10,148.55048571013182,109.81718860362157,106.11534326354655,113.73805751276225,120.92473065848878,139.61036491342486
2023-02-13,152.2040022568215,113.24820445080435,106.16022740377014,115.98695090828643,123.1989570951273,143.84317201634877
2023-02-14,160.46806370852323,113.60296817233603,106.23878328072682,116.17338301418691,122.67842279621115,143.88328885324592
2023-02-15,159.0220306858363,112.69495383322659,108.77468541396642,117.87462598675621,124.3840616055333,142.02341607687788
2023-02-16,153.6989464164956,109.69469162510673,107.17010329566978,114.36728253891886,123.08682025493079,138.23952550189966
2023-02-17,149.40973180904516,107.98327108264967,105.86848049231688,113.26030912827456,122.15793812634577,138.5922676461224
2023-02-21,144.28922794563888,105.72785548277966,102.99595593896586,110.20741338543583,118.89877354828668,137.95092837991902
2023-02-22,144.9807730013725,105.24247897307693,102.83886144818332,111.61734007941789,119.24309990247271,137.1813360546373
2023-02-23,165.30913252423883,106.60661622550134,101.98608867863163,111.65229554364949,119.63547958505896,137.91884970456366
2023-02-24,162.66854468359816,104.28425665897596,100.01122103505588,108.94896333312265,117.481405080315,136.59611597760286
2023-02-27,164.1704913922001,104.67757538909214,100.84156899762667,109.25192550645639,118.45035026012755,135.9146845314396
2023-02-28,162.17954001923368,104.36793006700489,101.05475140055779,109.79958481940729,118.04195280140792,140.24370300349233
2023-03-01,158.56098286442932,103.04983480495432,101.3913738206692,107.39920589221823,116.36030963812915,139.0251694933277
2023-03-02,162.86414921698164,105.07509285527743,103.23158904357422,107.35259564324411,116.84079329308045,139.91502603002044
2023-03-03,166.8878805218433,106.8241972177118,105.0830253015351,110.58028648723277,120.94076084188488,148.50890562341522
2023-03-06,164.54070615037207,107.48533766648136,106.7437039635458,109.24027072171387,123.18288968994312,148.22829734910187
2023-03-07,162.71014649332355,106.34716577782504,105.31867566927433,109.00722836683929,121.39722403626743,147.91567204177625
2023-03-08,168.94943092619044,106.15887113345373,105.75627014175792,109.43835761235687,122.41419772995481,148.2844165382708
2023-03-09,163.74421622804033,105.5814237435839,103.59066216536283,107.49242639016646,120.58839458147543,145.65497609355828
2023-03-10,160.4534317158112,104.0206271261014,101.69433313561294,105.72128137912998,118.91480373168277,143.9073293670595
2023-03-13,160.46040758836216,106.2509158124597,102.2329428182959,107.702168065552,120.49232514646309,145.02165033195942
2023-03-14,168.12499749908966,109.1256351570848,105.44209842332373,110.5569769177477,122.18994886408719,155.53953539549573
2023-03-15,169.27781712543367,111.07138578399672,107.8433481358926,112.0950795739096,122.51027957222985,158.52974381750414
2023-03-16,178.45155636651742,115.57381951159857,112.5673348419008,116.56956568546892,124.80046174868829,164.2856962333138
2023-03-17,179.73715765872112,116.92538020668654,114.02602624133995,115.2994608484132,124.11981172475157,156.81418809482935
