Date,nvda,msft,googl,amzn,aapl,meta
2023-01-03,100.0,100.0,100.0,100.0,100.0,100.0
2023-01-04,103.03177928170469,95.62568988483432,98.8330275014449,99.207643547432,101.03141827860789,102.10839463189592
2023-01-05,99.65071762518392,92.79157507734054,96.7235238103194,96.85388375921303,99.96002111033673,101.76367420051015
2023-01-06,103.80020450709091,93.88514285855393,98.00267820718067,100.30296217333377,103.63795537700926,104.23279717193212
2023-01-09,109.17219303682361,94.79923823327617,98.76569769329524,101.79445458052155,104.06171307008769,103.7918816967005
2023-01-10,111.13517438613701,95.5213323145598,99.21452863234971,104.71918325117645,104.52545583194679,106.61376287743347
2023-01-11,111.77784808797206,98.40972813485034,102.6929856343268,110.80167405736483,106.73222875018513,106.53360649068708
2023-01-12,115.34054564785639,99.5533854703122,102.25537632996395,111.01141573275038,106.66825016848908,109.5959691312429
2023-01-13,118.05101475058237,99.85391629741758,103.36624926721348,114.33232707468726,107.7476554729277,109.81240490500016
2023-01-17,123.66049689155223,100.3214101392227,102.4349224850297,111.92030225275164,108.69114491074605,108.51371646495451
2023-01-18,121.39015478726294,98.4264224868047,102.24416330742483,111.23281219287841,108.10744076342749,106.6378208630827
2023-01-19,117.11489637785068,96.80691438598251,104.40978378416087,109.15870500850818,108.15542778925824,109.1470466270452
2023-01-20,124.61753940028812,100.267148621582,109.98652284257184,113.31857416199121,110.23426826057413,111.72838485003702
2023-01-23,134.0761157122058,101.25220636428467,111.97262300069957,113.63318223007151,112.82482616134504,114.85491441857438
2023-01-24,134.5790817985022,101.02679687178127,109.62746498105025,112.23491032083194,113.96018955307741,114.75068774659512
2023-01-25,134.9842685570848,100.42993317450413,106.84469765703808,113.23700844878547,113.42447243158959,113.43596064945001
2023-01-26,138.3304099777056,103.51450225162553,109.42548416875375,115.61407780648952,115.10356108097727,118.08563376034003
2023-01-27,142.26334738833376,103.58127316105768,111.5013401801094,119.13306714907341,116.67865518430114,121.64503487639196
2023-01-30,133.85959291286576,101.30646138354003,108.77468964170775,117.1638352473939,114.3359663994425,117.89323137306465
2023-01-31,136.47921739197116,103.4351959568606,110.90663660221647,120.17012074125853,115.36738467805037,119.4244065435507
2023-02-01,146.30109218255475,105.49712063043695,112.69075594804772,122.52388941947348,116.27886628766844,122.75133322874588
2023-02-02,151.65212323635973,110.44328215768229,120.8931680569408,131.56607325054435,120.58847936925548,151.3307688291405
2023-02-03,147.39784230682932,107.83455734753586,117.57180532849377,120.47308291459228,123.53082678259351,149.53504191359875
2023-02-06,147.32098711511975,107.17506221229212,115.46230163736826,119.06315622061024,121.31604572818766,149.15824416801405
2023-02-07,154.8934706093571,111.6787681764712,120.78096032217718,118.9815905074045,123.65075109334849,153.6155148916287
2023-02-08,155.11699479263734,111.33232625689496,111.5013401801094,116.58122047021145,121.46795315067327,147.04987413528545
2023-02-09,156.03912373345798,110.03422179691012,106.60906055281924,114.47214893161362,120.62843354244907,142.6327000544195
2023-02-10,148.55045680696216,109.81721471665935,106.11533446284585,113.73805751276225,120.92473458064586,139.61038485827774
2023-02-13,152.20397898651302,113.24819322143027,106.16022100161229,115.98695090828643,123.1989340280968,143.84320047958536
2023-02-14,160.4680125104729,113.60297906779103,106.23878105660604,116.17338301418691,122.67841753544542,143.8832848227504
2023-02-15,159.02200668332108,112.69495968336747,108.77468964170775,117.87462598675621,124.38406403147495,142.02341557839438
2023-02-16,153.69891448542995,109.6947331496543,107.17009922663732,114.36728253891886,123.0868201217521,138.23955936003546
2023-02-17,149.40970665201488,107.98330538811021,105.86847572393539,113.26030912827456,122.15792575926369,138.5922745208036
2023-02-21,144.28918782946096,105.72789129085096,102.99596115884779,110.20741338543583,118.89877499615196,137.95094962933052
2023-02-22,144.98080453903054,105.24250089580242,102.83886688531774,111.61734007941789,119.24310013488395,137.18134008022895
2023-02-23,165.30910276598007,106.60661595413387,101.98608293382276,111.65229554364949,119.63547409062083,137.9188600155479
2023-02-24,162.66854081490106,104.28427498619416,100.01122163469161,108.94896333312265,117.48140904391691,136.5961258894367
2023-02-27,164.17043768985002,104.67759625765787,100.84156231680336,109.25192550645639,118.45035644547754,135.91470435521492
2023-02-28,162.1795241526075,104.36795469429711,101.054756151639,109.79958481940729,118.04195385917086,140.2437150203684
2023-03-01,158.56094221291076,103.04986120098738,101.39137935592983,107.39920589221823,116.36030705517415,139.02519526665282
2023-03-02,162.86413947823686,105.07512198444053,103.23159826306664,107.35259564324411,116.84078286698814,139.9150209464985
2023-03-03,166.88790817651622,106.82420139068046,105.08303019274257,110.58028648723277,120.94075085298081,148.50891224757487
2023-03-06,164.54068420857857,107.48535361418747,106.74370294481359,109.24027072171387,123.18291775576186,148.22832184541969
2023-03-07,162.7101223675213,106.34718741434315,105.3186672969614,109.00722836683929,121.39718989805755,147.91566642864922
2023-03-08,168.94942233581506,106.15889020055187,105.75627660132425,109.43835761235687,122.4141614001534,148.2844448456842
2023-03-09,163.7441667636303,105.58143718030382,103.59065612458822,107.49242639016646,120.5884052198465,145.65495375264294
2023-03-10,160.45335628009136,104.02063549269913,101.69433765614586,105.72128137912998,118.91480362672173,143.90734280839962
2023-03-13,160.46034432806218,106.25093982898068,102.2329416727332,107.702168065552,120.49231994407157,145.0216481897196
2023-03-14,168.12492602704467,109.1256565481175,105.44208805426413,110.5569769177477,122.18992122922914,155.53955106396626
2023-03-15,169.2777672386575,111.07141608524529,107.84336285952398,112.0950795739096,122.51025903416317,158.5297520471581
2023-03-16,178.4515272518868,115.5738613626672,112.56731796644,116.56956568546892,124.80048711218392,164.28572351040202
2023-03-17,179.73711470300628,116.92540854373914,114.02602713051951,115.2994608484132,124.11982025441775,156.81418151836272
2023-03-20,180.95980972238846,113.91262712953711,113.57720480361752,113.85457869019955,126.04167406873441,158.57785571887285
2023-03-21,183.04890266642707,114.56123097094064,117.72889960202382,117.23374617585709,127.54712951881173,162.06510747714444
2023-03-22,184.9283541713412,113.93773689051481,115.98966679495904,115.00815345982198,126.3859992074664,160.18118024713922
2023-03-23,189.97987268816803,116.18477456906282,118.4919190881384,115.0198082445645,127.26684475294994,163.76463934884035
2023-03-24,187.1012770190908,117.40244201523247,118.31239015737762,114.34397296943379,128.323869294118,165.15152810334948
2023-03-27,185.36850784171673,115.6491646520589,114.96858415954736,114.23910657673902,126.74632826029853,162.61023732477167
2023-03-28,184.52312740485036,115.1679592171733,113.3640023566294,113.30691937724866,126.24186511468658,160.87862813887682
2023-03-29,188.53357346968917,117.3773322542548,113.76794675691744,116.81426282508605,128.74026765835734,164.62242461323805
2023-03-30,191.32133785111526,118.8586261971488,113.20690808309935,118.8534145452247,130.0135118760474,166.61858554418862
2023-03-31,194.07417532865662,120.63701332130006,116.39362841955203,120.356561737155,132.0474425220043,169.9054155866351
2023-04-03,195.3877149716594,120.18930056448873,117.10053112005608,119.33116292971239,133.0644758152743,170.81130452274755
2023-04-04,191.81042119325588,120.16833677336191,117.50447552034412,121.12560862023795,132.63202410399552,172.13405094844242
2023-04-05,187.81392455241985,118.9799640483329,117.22397771381627,117.80470616829706,131.1345767900857,169.5366371696001
