,nvda,msft,googl,amzn,aapl,meta
2023-01-03,100.0,100.0,100.0,100.0,100.0,100.0
2023-01-04,103.03179670521425,95.62568282691176,98.83304688044868,99.207643547432,101.03142195109045,102.10839017682353
2023-01-05,99.65072622096268,92.79154215927858,96.72350955307135,96.85388375921303,99.9600113923486,101.76367384442482
2023-01-06,103.80021635874014,93.88512636526899,98.00269028631247,100.30296217333377,103.63796451163061,104.23281969231346
2023-01-09,109.17221140680465,94.79922604380036,98.76572067011331,101.79445458052155,104.06170355066702,103.79189198485521
2023-01-10,111.13519246771209,95.52133668909116,99.21454480921822,104.71918325117645,104.52548082640558,106.6137553417717
2023-01-11,111.7778663581633,98.40972686792524,102.69299662402214,110.80167405736483,106.73223656853328,106.53359563384792
2023-01-12,115.34057628039432,99.55338804966195,102.2553676252768,111.01141573275038,106.6682647221012,109.59598742841321
2023-01-13,118.0510026949141,99.85392195734228,103.36624146424495,114.33232707468726,107.74767176164706,109.81238905148085
2023-01-17,123.66052418676902,100.32140968553558,102.43491281773656,111.92030225275164,108.69114483115607,108.51372041521792
2023-01-18,121.39015125571366,98.42642356003476,102.24416385335178,111.23281219287841,108.1074699724081,106.63780818553657
2023-01-19,117.11492869304902,96.80689682773985,104.40978909287773,109.15870500850818,108.1554240427068,109.14703388738707
2023-01-20,124.61756581945389,100.26714052346128,109.98653130530676,113.31857416199121,110.23424849923302,111.7283811351241
2023-01-23,134.07616812011784,101.2521929555942,111.97261135237295,113.63318223007151,112.82482291269054,114.85491795588554
2023-01-24,134.5791244960416,101.02679743755232,109.62747544664899,112.23491032083194,113.96017429970773,114.7506930757275
2023-01-25,134.98428528088988,100.42991525822853,106.84469327904884,113.23700844878547,113.42446591852114,113.43593578692067
2023-01-26,138.33044972833778,103.51448665663119,109.42549681564289,115.61407780648952,115.10355318568566,118.08563034292747
2023-01-27,142.26338772223838,103.58127342506928,111.50134514315624,119.13306714907341,116.67866759150402,121.64505670910988
2023-01-30,133.85960930714717,101.30646866795965,108.774676782401,117.1638352473939,114.3359778793395,117.89320759280841
2023-01-31,136.4792026644897,103.43516918124702,110.90663028519383,120.17012074125853,115.36738121953591,119.42441581856045
2023-02-01,146.30109717930011,105.49711567755196,112.69074033281936,122.52388941947348,116.2788559585662,122.75132725219254
2023-02-02,151.65212459654484,110.44326671665412,120.893170222066,131.56607325054435,120.58849383957696,151.33077813476916
2023-02-03,147.39782965013734,107.83454121793625,117.57180426647922,120.47308291459228,123.53082655757208,149.53505026995032
2023-02-06,147.3210150280692,107.17505135592009,115.46230146536361,119.06315622061024,121.31604331648364,149.15826758868823
2023-02-07,154.89347756626896,111.67878263101221,120.78095987150705,118.9815905074045,123.6507551587382,153.6155270661066
2023-02-08,155.1169989131378,111.33233773274904,111.50134514315624,116.58122047021145,121.46798265539121,147.0498774118647
2023-02-09,156.03912117083144,110.03421413569858,106.6090601744405,114.47214893161362,120.62843281817759,142.63267313146943
2023-02-10,148.55048914134818,109.81718988973044,106.11534326354655,113.73805751276225,120.92473065848878,139.61039817627417
2023-02-13,152.20399210619385,113.248193085814,106.16022740377014,115.98695090828643,123.19893228060191,143.84320554011825
2023-02-14,160.4680530067576,113.60296995440409,106.23878328072682,116.17338301418691,122.67841038894845,143.88326073714137
2023-02-15,159.02202008050796,112.6949423957572,108.774676782401,117.87462598675621,124.3840491982706,142.02342483153453
2023-02-16,153.69893616616875,109.6947190963323,107.17010329566978,114.36728253891886,123.08682025493079,138.23955868024723
